CMM,Status,Section Number,Content
2008-01_historical,historical,15,"As an alternative to the high seas FAD closure established pursuant to paragraph 13, Members may adopt measures to reduce their catch by weight of bigeye tuna in the purse seine fishery in the area between 20°N and 20°S by a minimum of 10 percent relative to 2001-2004 average levels through a Member-specific catch limit to achieve this goal.  This alternative shall only be available to Members identified by the Commission in advance as having demonstrated a functioning capacity to implement such measures in an effective and transparent manner, including through: an established and functioning port monitoring program that allows monitoring of bigeye landings for each trip by each vessel; a commitment to carry on board observers from the Regional Observer Program, including upon return to port so that the observer can view the port monitoring program for each trip; a commitment to provide data for each trip by each vessel to the Commission within 30 days from the completion of the trip; having provided operational catch and effort data at least for the period 2001 to 2004 to substantiate the base level catch and effort; other such conditions as the Commission may determine.  Any such program will be open to audit by the Commission to review the effectiveness of the program."
2008-01_historical,historical,16,"Once identified by the Commission as having met the requirements outlined above, the Members in question shall submit the full details of their intended measures and their port monitoring program to the Commission by 31 January 2009.  The Commission will review these submissions and take them into account when assessing the effectiveness of the measures.   Measures for 2010-2011  EEZs  Waters under the jurisdiction of PNA members"
2008-01_historical,historical,17," For the members of the FFA who are members of the PNA, this measure will be implemented through their domestic processes and legislation, including: a. the VDS which limits total days fished in the EEZs of PNA members to no greater than 2004 levels (Attachment C); and b. the Third Arrangement Implementing the Nauru Agreement of May 2008 which comprises a 3 month FAD closure period in the EEZs of the PNA member countries from 0000 hours on 1 July each year until 2400 hours on 30 September each year; full catch retention and other conditions for the purse seine fleet in national waters.    Waters under the jurisdiction of non-PNA members"
2008-01_historical,historical,18, Other non-PNA CCMs shall implement compatible measures to reduce purse seine fishing mortality on bigeye tuna in their EEZs.   High Seas
2008-01_historical,historical,19," The purse seine fishery on the high seas in the area bounded by 20ºN and 20ºS shall be closed to fishing on FADs between 0000 hours on 1 July and 2400 hours on 30 September. During this period all purse seine vessels without an observer from the Regional Observer Program on board will cease fishing and return directly to port. During this period, a vessel may   6only engage in fishing operations if the vessel carries on board an observer from the Regional Observer Program to monitor that at no time does the vessel deploy or service any FAD or associated electronic devices or fish on schools in association with FADs."
2008-01_historical,historical,20, Alternative measures may be set to reduce bigeye catch by a further 20% as a result of the review by the Commission of the 2009 alternative measure.
2008-01_historical,historical,21," The Commission shall consider the development of a high seas vessel day scheme (HS VDS) to be compatible with the PNA VDS to provide a common currency for managing purse seine effort. Based on the advice and recommendations of the SC and TCC, the Commission shall consider such a scheme at its annual session in 2009 with a view to adoption at its annual session in 2010 with a view to ensuring that reductions in fishing effort on the high seas and in adjacent EEZs are compatible."
2008-01_historical,historical,22,The high seas pockets indicated in Attachment D will be closed effective from 1 January 2010 unless the Commission decides otherwise at its 6th annual meeting in December 2009. At this meeting the Commission will also consider the closure of all high seas pockets in the Convention Area between 20 north and 20 south.   FAD Management Plans
2008-01_historical,historical,23,"By 1 July 2009, CCMs fishing on the high seas shall submit to the Commission Management Plans for the use of FADs by their vessels on the high seas.  These Plans shall include strategies to limit the capture of small bigeye and yellowfin tuna associated with fishing on FADs, including implementation of the FAD closure pursuant to paragraphs 13 and 19 above.  The Plans shall at a minimum meet the Suggested Guidelines for Preparation for FAD Management Plans for each CCM (Attachment E)."
2008-01_historical,historical,24," The Commission  Secretariat will prepare a report on additional FAD management options for consideration by the Scientific Committee, the Technical & Compliance Committee and the Commission in 2009 including: a. Marking and identification of FADs; b. Electronic monitoring of FADs c. Registration and reporting of position information from FAD-associated buoys; and d. Limits to the number of FADs deployed or number of FAD sets made.  Juvenile Tuna Catch Mitigation Research"
2008-01_historical,historical,25,"The Commission will work with CCMs, regional tuna commissions and industry to develop and implement a 3 year program to explore methods to reduce catches of juvenile bigeye and yellowfin tuna caught in association with FADs."
2008-01_historical,historical,26,"CCMs, working independently or collaboratively with industry, and reporting through the Scientific Committee and the Technical and Compliance Committee at each regular session, shall explore and evaluate mitigation measures for juvenile bigeye and yellowfin taken around FADs and present the results annually to the Commission.   Catch Retention"
2008-01_historical,historical,27," In order to create a disincentive to the capture of small fish and to encourage the   7development of technologies and fishing strategies designed to avoid the capture of small bigeye and yellowfin tuna, CCMs shall require their purse seine vessels fishing in EEZs and on the high seas within the area bounded by 20ºN and 20ºS from 1 January 2010, subject to the Commission implementing the program in Paragraph 28 for 100 percent coverage on purse seine vessels by the observers from the Regional Observer Program, to retain on board and then land or transship at port all bigeye, skipjack and yellowfin tuna. The provisions of this paragraph, shall not prevent the PNA from implementing the catch retention requirement in their EEZs in accordance with the Third Implementing Agreement. The only exceptions shall be:   a) when, in the final set of a trip, there is insufficient well space to accommodate all fish caught in that set noting that excess fish taken in the last set may be transferred to and retained on board another purse seine vessel provided this is not prohibited under applicable national law; or  b) when the fish are unfit for human consumption for reasons other than size; or c) when serious malfunction of equipment occurs.     Monitoring"
2008-01_historical,historical,28," Purse seine vessels fishing within the area bounded by 200N and 200S exclusively on the high seas, on the high seas and in waters under the jurisdiction of one or more coastal States, or vessels fishing in waters under the jurisdiction of two or more coastal States, shall carry effective 1 January 2010, an observer from the Commission’s Regional Observer Programme."
2008-01_historical,historical,29," In 2009 vessels fishing in the area described above will carry observers compliant with licensing arrangements and on the high seas will have a minimum of 20% observer coverage drawn from the Regional Observer Program. The level of coverage achieved will be monitored and reported through TCC. The Secretariat, in conjunction with the Inter-American Tropical Tuna Commission (IATTC), will develop a cross-endorsement arrangement in order to allow vessels operating within IATTC and Commission  areas on the same fishing trip to use the same observer.   Other Considerations for Purse Seine Measures"
2008-01_historical,historical,30,"Developing skipjack purse seine fisheries, between 20ºN and 20ºS that can provide verifiable evidence of minimal yellowfin and bigeye by-catch (cumulative <2%), with 100% observer coverage, and with a legitimate development plan, will be exempted.  Any such plan shall restrict the use of FADs and implement other such management measures necessary to minimize impacts on bigeye and yellowfin tunas.  These measures must be supported by adequate monitoring, control and surveillance to ensure their effective implementation.  Existing plans shall be tabled at the Commission for information.  The Commission is to be given the opportunity to comment on the plan before its approval. This measure does not apply to the domestic purse seine fisheries of small island developing states.   LONGLINE FISHERY"
2008-01_historical,historical,31,"The total catch of bigeye tuna by longline fishing gear will be subject to a phased reduction such that by 1 January 2012 the longline catch of bigeye tuna is 70% of the average annual catch in 2001-2004 or 2004 (Attachment F).3 The catch of yellowfin tuna is not to be increased in the longline fishery from the 2001-2004 levels.                                                  3 The year 2004 shall apply only to China, the United States and Indonesia.    8"
2008-01_historical,historical,32,"Paragraph 31 does not apply to members and participating territories that caught less than 2,000 tonnes in 2004. Each member that caught less than 2,000 tonnes of bigeye in 2004 shall ensure that their catch does not exceed 2,000 tonnes in each of the next 3 years (2009, 2010 and 2011).  Consistent with paragraph 3 opportunities for non members will be decided by the Commission on a case by case basis."
2008-01_historical,historical,33,"Each member or cooperating non-Member that caught an average of more than 2,000 tonnes of bigeye shall be subject to the following catch limits for bigeye tuna for the years 2009 to 2011 inclusive:    2009: 10% reduction of the catch specified in Attachment F;  2010: 20% reduction of the catch specified in Attachment F;  2011: 30% reduction of the catch specified in Attachment F."
2008-01_historical,historical,34," In accordance with paragraph 6, the limits for bigeye tuna established in paragraphs 31 to 33 above, shall not apply to small island developing State members and participating territories in the Convention Area undertaking responsible development of their domestic fisheries."
2008-01_historical,historical,35," Further to paragraph 34, the reductions specified in paragraph 33 for 2010 and 2011 shall not apply to fleets of members with a total longline bigeye tuna catch limit as stipulated in Attachment F of less than 5,000 tonnes and landing exclusively fresh fish, provided that the details of such fleets and their operational characteristics are registered with the Commission by 31 December 2008 and that the number of licenses authorized in such fisheries does not increase from current levels. In such cases, catch limits specified in Attachment F shall continue to be applied."
2008-01_historical,historical,36,The catch limit for China for 2009 and 2010 will remain at 2004 levels pending agreement being reached to develop an arrangement for the attribution of Chinese catch taken as part of domestic fisheries in the EEZs of Pacific Island Countries.
