,document,number,content,meeting,topic_four,original label,meeting_number
text11,WCPFC3-2006-OP02,12,appendix seabird bycatch mitigation measures recommended by the wcpfc scientific committee in august 2006 all longliners should thaw their bait before it is deployed in addition south of 30s and north of 23n ccms should require their longline vessels to use at least two of the mitigation measures presented in table 1 including at least one from column a,WCPFC3,bycatch,bycatch,3
text12,WCPFC3-2006-OP02,13,table 1 recommended mitigation measures column a column b side setting with bird curtain tori line night setting with minimum deck lighting weighted branch lines tori line bluedyed bait,WCPFC3,bycatch,bycatch,3
text13,WCPFC3-2006-OP02,17,management of offal discharge if tori line is selected from both column a and column b this equates to simultaneously using two ie paired tori lines in other areas where necessary ccms are encouraged to employ one or more of the seabird mitigation measures listed in table 1 other mitigation measures may be tested under bona fide research programmes every effort should be made to ensure that seabirds captured alive during longlining are released alive and that wherever possible hooks are removed without jeopardising the life of the seabird concerned ccms are encouraged to seek feedback from fishers and observers on the effectiveness and practicality of mitigation measures these measures should be reviewed regularly particularly when information becomes available on new or existing measures or on seabird interactions from observer or other monitoring programmes an updated suite of recommended measures should then be considered to the extent possible ccms should endeavour to harmonise their npoas with these measures,WCPFC3,bycatch,bycatch,3
text14,WCPFC3-2006-OP03,1,wwf traffic oceania statement to the 3rd session of the western central pacific fisheries commission,WCPFC3,strategy,session,3
text15,WCPFC3-2006-OP03,3,introduction since the second annual meeting of the wcpfc in december 2005 there have been some significant developments in global fisheries conservation and management primary among these was the united nations fish stocks review conference in may 2006 at which a key issue of focus was the performance of the worlds 16 regional fisheries management organizations rfmos the focus on rfmos at the unfsa review conference is part of ongoing international efforts to address the reasons for the widespread failure of rfmos to prevent overfishing degradation of the marine ecosystems and suboptimal benefits accruing to coastal states fishing states and their legitimate fishing industries multilateral bilateral and unilateral efforts are underway to identify the reasons for these failures and move rapidly to implement effective measures to address them initiatives such as the ministeriallyled high sea task force on illegal unreported and unregulated fishing which released its final report in march 2006 the mcs network and the meeting of the five tuna rfmos to be hosted by japan early in 2007 represent some of these efforts as a contribution to international efforts at the unfsa review conference wwf and traffic released the report follow the leader learning from experience and best practice in regional fisheries management organisations the wcpf convention is arguably the most innovative and farreaching rfmo in force to date given that it was negotiated postunfsa the convention reflects much of what is widely regarded as international best practice in areas such as recognition of the precautionary approach facilitating developing state participation explicit acknowledgement of allocation and evolved decisionmaking processes the responsibilities of the commission can not be understated it is responsible not only for the conservation and management of the worlds largest tuna fishery supplying almost half of the global supply but also for the broader marine ecosystem upon which the longterm prosperity of this fishery relies in the context of the current and growing international focus on the performance of rfmos there are high expectations from the international community that the wcpfc has the tools at its disposal to succeed where other rfmos have failed to meet these expectations wwf and traffic consider the following to be priorities for action precautionary approach bigeye tuna and yellowfin tuna management the commissions decision at its 2005 meeting to limit catch and effort at record levels was contrary to the advice of its scientific committee and the precautionary approach the scientific committees advice to this meeting is similar to that in 2005 if not more pessimistic with regard to bigeye tuna the advice from the scientific committee is that a reduction in fishing mortality of 39 is required to maintain the bigeye tuna biomass at a level 20 above that which will produce maximum sustainable yield msy similarly a reduction in fishing mortality on yellowfin tuna is required to maintain biomass at a level 20 above the level at which msy is produced in the context of the scientific committees advice wwf and traffic draw the commissions attention to the fact that under the precautionary approach set out under unfsa msy is minimum standard for a limit reference point not a target reference point ie stocks should be maintained at levels above those that can produce msy wwf and traffic draw the attention of the commission to conservation and management measure cmm 200501 concerning bigeye and yellowfin tuna which provides for the catch and effort levels set under that cmm to be reviewed annually in light of the scientific committees advice wwf urges the commission to follow the advice of sc2 and take action to reduce catch of bigeye and yellowfin at this meeting additionally priority should be given to developing and adopting a robust management evaluation strategy mse prior to the expiration of the threeyear limit on longline catch levels for bigeye tuna established under cmm 200501 the mse would then provide a decisionmaking framework within which the current catch and effort limits can be reassessed the scientific committee considered the development of a mse to be the highest level of priority in its future work programme and we call on members to provide the necessary extraordinary funding for this work to be urgently undertaken action to address the ongoing overfishing of bigeye tuna and yellowfin tuna may pervert the flow of economic benefits from the longline and purse seine fisheries respectively in the short to medium term in this context we would draw the attention of members to their unilateral and collective obligations under article 5 of this convention among others to apply the precautionary approach and prevent these stocks from moving to an overfished state traderelated measures traderelated measures for tuna species is not a new concept and much work has been done to assess the different forms that these measures can take and the effectiveness of various systems in meeting objectives traffic and wwf have undertaken a number of analyses of the effectiveness and deficiencies in traderelated measures adopted by rfmos including most recently that of the commission for the conservation of southern bluefin tuna given the global nature of trade in tuna products and the laundering of catches already known to occur it is inevitable that the commission will need to consider some form of a traderelated measure for the wcpfc wwf and traffic believe that a priority for the commission is to ensure that the objectives of its traderelated measure are clearly stated to provide a basis against which to the pros and cons of different schemes and to ensure that the deficiencies in the schemes of other rfmos are not repeated more specifically proposals to implement a pareddown statistical documentation scheme sds need to be carefully examined in the light of deficiencies already exposed in systems that deal only with the trade component rather than being inclusive of catch as well given that the commission has already signaled its intention to move rapidly to allocate fishing opportunities as well as existing concerns about levels of illegal unregulated and unreported iuu fishing in the convention area wwf and traffic consider that the most cost and conservationeffective way forward is for the commission to adopt a catch documentation scheme from the outset rather than subject the fishing industry and the membership to a series of iterative steps towards such a comprehensive scheme over a number of years transhipment wwf and traffic are fully aware that accurate reporting of catches is essential in assessing the health of the fishery transhipment requirements are articulated in article 29 of the convention and annex iii article 4 identifying designated ports for transhipment taking into account exceptional situations where this may not be possible will reduce and discourage iuu related activities with the understanding that the adoption of transshipment guidelines will be made at wcpfc4 as per the recommendation from the technical and compliance committee tcc to the commission we would like to encourage the commission to move forward with its recommendation to develop transhipment guidelines prior to wcpfc4,WCPFC3,transparency,scientific_advice,3
text16,WCPFC3-2006-OP03,4,with respect to the precautionary approach wwf and traffic call for a 39 reduction in fishing mortality of bet in line with the sc advice on maintaining biomass 20 above levels producing msy a 26 reduction in fishing mortality of yft in line with the sc advice on maintaining biomass 20 above levels producing msy a management strategy evaluation framework be developed as a matter of urgency and adopted no later than the 5th annual session of the commission in 2008 the development and adoption of a comprehensive catch documentation scheme with the ability to track catch from vessel to market state transshipment requirements that effectively address iuu fishing to be developed prior to wcpfc4,WCPFC3,bycatch,fishing_mortality,3
text17,WCPFC3-2006-OP03,5,ecosystem approach to fisheries management wwf and traffic welcome the intersessional work done and congratulate the scientific committee and its subsidiary bodies there are a number of areas with respect to species of special interest and broader ecosystem considerations that we would like to highlight species of special interest turtles populations of sea turtles are vulnerable to even smallscale adult mortality resulting from longline bycatch wwf and numerous partners are engaged in collaborative trials for longline bycatch mitigation in the eastern and western pacific and have also encouraged through the smartgear competition the development of innovative and adaptive fishing gears designed to reduce bycatch we are encouraged to see that many countries catching tuna in the convention area are likewise testing alternative gear such as circle hooks wwf and traffic support the general recommendations for sea turtle data collection and research of the scientific committee in 2006 particularly the identification of those fishery sectors with a turtle bycatch problem as well as the recommendation for a flexible approach based on scientific research to sea turtle mitigation measures however this research must result in action in a timely manner as turtle bycatch hotspots are identified the commission must require concrete mitigation action from ccms such as widespread gear change seasonal closures in such hotspots rather than supporting an ongoing research programme sharks wwf and traffic are encouraged by the recognition of the commission of the vulnerability of shark species to the impacts of fishing and the need to implement measures to mitigate these impacts in this context traffic is close to completing an analysis of shark conservation measures adopted by other rfmos and has identified both deficiencies and best practice arising from this analysis the analysis reiterates that the key to sustainable shark fisheries is to understand and manage the level of mortality incurred by fishing effective management requires reliable species or stockspecific information on biology and total mortality landings and discards and precautionary limits in the face of uncertainty while all shark species are relatively more vulnerable to overfishing than most other marine fishes within the shark category the level of vulnerability varies considerably there is an urgent need to improve our understanding of shark mortality on a species basis and it is important therefore that information is collected on this basis and that riskbased management measures are adopted for individual species where necessary the approach adopted by a number of other rfmos in response to these requirements has been to implement bans on shark finning however the extent to which finning bans will achieve shark conservation depends on how they are applied the key element of the bans is the requirement to land both the trunk and the fins and there are a number of ways in which this requirement can be applied from relying on a ratio of fintobody weight to requiring the landing of whole specimens clearly a fintobody ratio provides the least contribution to data collection and creates difficulties for enforcement to maximise effectiveness with respect to these objectives and account for the practicalities of fishing wwf and traffic recommend that sharks should be landed headed and gutted with skins fins claspers dorsal spines where applicable attached this approach maximises product quality and makes a significant contribution to shark species identification quantification of weight of catch and enforcement it is also the approach recommended by fao in its technical guidelines for responsible fisheries further to provide a basis for effective shark conservation into the future the cmm needs to relate to all species of the class chondrichthyes seabirds at its second annual session the commission recognized the need to take urgent action with respect to mitigating incidental catch of seabirds and the need to cooperate with other organizations in this quest we welcome the comprehensive recommendations from the scientific committee and tcc with regard to mitigation measures to be adopted as well as future research and data needs we would urge the commission to adopt and implement a cmm specific to seabird mitigation at this meeting consistent with the recommendations contained in the scientific committee report,WCPFC3,bycatch,bycatch,3
text18,WCPFC3-2006-OP03,6,wider ecosystem issues like the highly migratory fish stocks with which this commission is primarily concerned ecosystem considerations and the impacts of fishing on the wider marine ecosystem are also transboundary it is crucial that a collaborative approach is taken to address fishing impacts on the ecosystem particularly on nontarget fish species and that measures to mitigate these impacts are applied in all waters where these occur whether under national jurisdiction or on the high seas in this regard states should ensure compatibility between waters under national jurisdiction and the high seas with respect to measures to mitigate these impacts an aspect of the scientific committees future work plan that wwf and traffic would like to highlight is the work to undertake an ecological risk assessment era we welcome this initiative and look forward to the contribution it will make to prioritising species requiring targeted management action noting that this will also facilitate more effective use of the limited resources of the commission linked to this we welcome the intention to develop review models to evaluate impacts on the ecosystem including development of reference points identified in the scientific committees work programme and would encourage members to provide funding to support this work with respect to the regional observer programme rop the rop is a vital component of fisheries management in the wcpf convention area the critical role of the rop is recognized in the convention text under part vii article 28 with further elaboration of its role and functions in annex iii there are obviously certain processes that have to be put in place to ensure that the rop becomes fully functional however time is of the essence particularly when dealing with a resource base which in the absence of data and without proper management will quickly succumb to overfishing of particular concern is that the current low observer coverage makes modelling for analyses of species of special interest problematic therefore wwf and traffic fully support the recommendations of the scientific committee to extend the regional observer programme coverage to ensure representative data collection across the wcpo,WCPFC3,transparency,precautionary_approach,3
text19,WCPFC3-2006-OP03,7,with respect to the ecosystem approach to the wcp fishery wwf and traffic call for the scientific committee to be tasked with identifying sea turtle and sea bird hotspots in the convention area and associated recommended mitigation actions and targets for consideration by the commission at the 2007 meeting adoption of a conservation and management measure for mitigating interactions with seabirds at this meeting of the commission based on the recommendations of the scientific committee in line with best practice adoption of a conservation and management measure for sharks based that applies to all species of the class chondrichthyes and requires sharks to be landed headed and gutted with skins fins claspers dorsal spines where applicable members to provide funding for the development review of models to evaluate impacts on the ecosystem including development of reference points identified in the scientific committees work programme a fullyfunctioning regional observer programme to be rapidly implemented with coverage that ensures representative data collection across the wcpo particularly with regard to species of special interest,WCPFC3,bycatch,bycatch,3
text20,WCPFC3-2006-OP03,8,allocation of fishing opportunities the issue of allocation has been addressed internally among ffa member countries and during the mhlc process where the unfsa criteria on allocation was considered to be a good starting point wwf and traffic recognize that the paper on allocation prepared for discussion at wcpfc3 is crucial in providing guidance and direction to the members of the commission we also recognize that in order to be able to deliver on the required conservation outcome namely a stable fishery allocation has to be supported by welldeveloped monitoring control and surveillance measures where there is noncompliance sanctions will have to be imposed including a reduction in quotas the experience of other rfmos with regards to allocation demonstrates that it is a necessary component of resource conservation and facilitating responsible fishing this experience also shows common issues such as an inability to agree on an overall catch limit given concomitant limits imposed on national fishing activities lack of willingness to accommodate new members within existing allocation regimes and noncompliance with national allocations in the joint wwftraffic paper conservation implications of allocation under the western and central pacific fisheries commission tabled at this meeting wwf and traffic have submitted a number of recommendations first and foremost being that the wcpfc should move rapidly to allocate particularly given that overfishing of two of the four key tuna stocks is already occurring and other rfmos delays have resulted in a reduced likelihood of agreement in the face of more drastic reductions in catch andor effort wwf and traffic urge members of the commission to agree on an allocation criterion taking into account the advice of the scientific committee and the requirements under the relevant articles of the convention including article we also urge the commission to establish a process under which discussions of allocation issues can proceed in a transparent methodical and objective manner,WCPFC3,strategy,scientific_advice,3
text21,WCPFC3-2006-OP03,9,with respect to allocation of fishing opportunities wwf and traffic call for the commission to establish a process under which allocation issues can be progressed in a transparent methodical and objective manner rapid resolution of allocation of fishing opportunities the allocation system developed by the commission to have inbuilt flexibility and review provisions for example to take account of the aspirations of new members,WCPFC3,transparency,scientific_advice,3
text22,WCPFC3-2006-OP03,10,other issues relationship with other organizations as many members of the commission are aware negotiations have commenced for a proposed south pacific rfmo in waters south of the equator covering all nonhighly migratory fish stocks while the proposed new rfmo is likely to exclude the highly migratory fish stocks to which the wcpf convention applies there will clearly be areas of significant overlap in responsibilities including species of special interest nontarget fish species broader ecosystem issues and measures to address iuu fishing wwf and traffic have attended each of the two negotiating sessions for the proposed south pacific rfmo held thus far and was encouraged by the attendance of many of the members from this commission and in particular the clear statements made linking the pelagic ecosystems underpinning the wcpf tuna fisheries with the proposed mandate of the new rfmo we would urge the commission to consider a more formalized approach to and presence at the negotiations for the new south pacific rfmo to ensure that the best practice standards and aspirations of this commission are complemented and enhanced under the new convention,WCPFC3,governance,scientific_advice,3
text23,WCPFC3-2006-OP03,11,conclusion the role of the wcpfc is paramount in ensuring that the code of conduct for fishing in the convention area is observed the effectiveness of the conservation and management measures when they are implemented will only be as effective as the cooperation among its members will allow wwf and traffic will play our role through a consultative process with national and regional environmental nongovernment organizations in increasing awareness of oceanic fishery resource and ecosystem management enhancing understanding of the wcpfc convention disseminating relevant information on oceanic fisheries management issues national and regional and promoting awareness of national andor regional development and economic priorities and how they relate to sustainable fisheries management we would like to reiterate that ccms nonccms and observers have a real opportunity as coastal states fishing states conservationists and industry to cooperate to ensure that responsible fishing is practiced,WCPFC3,governance,data_research,3
text24,WCPFC3-2006-OP04,1,comision interamericana del atun tropical interamerican tropical tuna commission la jolla shores drive la jolla ca 920371508 usa wwwiattcorg tel 858 5467100 fax 858 5467133 director robin allen november 2006 ref 0803708,WCPFC3,governance,governance,3
text25,WCPFC3-2006-OP04,2,mr andrew wright executive secretary west and central pacific fisheries commission po box 2356 kolonia pohnpei 96941 federated states of micronesia,WCPFC3,governance,session,3
text26,WCPFC3-2006-OP04,3,dear mr wright you asked recently for comments about the iattc experience with measures to restrict fishing effort to conserve tuna stocks in the eastern pacific ocean i have prepared an outline of the measures adopted by the iattc since 1966 which may be useful in your preparations for your meeting the iattc successfully used a closure of the purseseine fishery in the commissions yellowfin regulatory area cyra from 1966 to 1979 and subsequently with similar measures during 1998 2001 for a period between 1980 and 1985 it was not possible to reach agreement on the implementation of conservation measures and during 1986 to 1997 conservation measures were not necessary the closure allowed fishing to continue within the cyra for other species so long as the catch of yellowfin did not exceed 15 of the total the closure of the crya for purseseine fishing for yellowfin was a successful measure because 90 of the yellowfin catch was taken by purseseine fishing outside the cyra caught large yellowfin catches of which had a relatively small impact the stock purseseine fishing that targeted skipjack was not affected by the closure in 1998 the iattc introduced its first measure to control purseseine catches of bigeye tuna by prohibiting sets on floating objects after 45000 t of bigeye had been taken resolution c9805 a similar measure was adopted in 1999 resolution c9906 and provisionally for 2000 resolution c9909 however there was a very strong recruitment of bigeye in 1998 producing very large catches in which would have lead to the fishery on floating objects being closed in the middle of the year with very serious repercussion of the catches of skipjack eventually the commission,WCPFC3,bycatch,fleet_capacity,3
