"","document","number","content","meeting","topic"
"text41","WCPFC10",41,"ffa members thanked el salvador for the information provided and for its financial contribution and supported renewal of its cnm status for 2014","WCPFC10","transparency"
"text42","WCPFC10",42,"wcpfc10 agreed to grant cnm status for 2014 to el salvador mexico","WCPFC10","transparency"
"text43","WCPFC10",43,"tcc9 requested the secretariat ask mexico to provide the following in advance of wcpfc10 i explicit commitment to accept high seas boarding and inspections in accordance with the commission s procedures on high seas boarding and inspection ii information on names of historical fishing vessels iii commitment to provide financial contribution iv ar part ii report v information on any research programmes conducted in the convention area vi information on compliance with the provisions of the convention and the cmms adopted by the commission and the fisheries laws and regulations of coastal states in the convention area vii information on responding to any iuu activities by vessels flying its flag that have been brought to its attention and viii information on responses to alleged violations of cmms adopted by the commission and any iuu activities of vessels flying its flag","WCPFC10","transparency"
"text44","WCPFC10",44,"mexico was a participant in the swg cnm and advised that it had provided information as part of its original cnm application which addressed some of the tcc9 requests mexico stated it does not have any vessels in the wcpo area and that it continues to have a domestic legal constraint to accepting high seas boarding and inspection and issues attributing budget for financial contribution given lack of fishing presence mexico also made a substantial statement to the swg cnm outlining their relationship to the wcpfc","WCPFC10","transparency"
"text45","WCPFC10",45,"upon consideration and noting the general requirements that apply to all cnms the swg cnm was satisfied with the explanation and information provided by mexico and invited the commission to renew its cnm status for 2014","WCPFC10","transparency"
"text46","WCPFC10",46,"ffa members noted that mexico did not provide its assessed contribution for 2013 these ccms stated that if the assessed contribution for 2013 is not received it should be accrued and added to the 2014 assessed contribution and any further applications from mexico should not be considered unless the full accrued payment is received ffa members also questioned why mexico had made previous commitments to accepting wcpfc high seas boarding and inspection procedures but now maintains that it has domestic legal constraints which prevent this","WCPFC10","transparency"
"text47","WCPFC10",47,"mexico explained that because it does not fish in the wcpf convention area its domestic legal constraints prevent it from obtaining funds to pay its assessed financial contribution furthermore mexico considered that because it has no vessels operating in the wcpf convention area including the overlap area there should be no need for it to agree high seas boarding and inspection procedures and in fact due to domestic legal interpretations 9 regarding the high seas it would be difficult to do so nevertheless mexico stated that it remains fully committed to conservation and management of wcpfc fish stocks particularly pacific bluefin tuna","WCPFC10","transparency"
"text48","WCPFC10",48,"wcpfc10 agreed to grant cnm status for 2014 to mexico panama","WCPFC10","transparency"
"text49","WCPFC10",49,"tcc9 requested the secretariat ask panama to provide the following in advance of wcpfc10 i commitment to have fishing vessels and nationals comply with provisions of the convention and cmms adopted by the commission ii full data on its historical fisheries in the convention area including nominal catches number type of vessels name of fishing vessels fishing effort and fishing areas iii details of current fishing presence in the convention area including the number of its vessels and their characteristics iv information on any research programmes conducted in the convention area and v information on what measures taken to ensure compliance by its vessels with the commission s cmms","WCPFC10","transparency"
"text50","WCPFC10",50,"information was provided by panama in advance of wcpfc10 which addressed some of the tcc requirements information was also provided during wcpfc10 the swg cnm noted some difficulty linking the information provided by panama to the specific tcc requests","WCPFC10","transparency"
"text51","WCPFC10",51,"noting these comments the swg cnm invited the commission to renew cnm status for panama in 2014","WCPFC10","transparency"
"text52","WCPFC10",52,"ffa members stated their general satisfaction with the application and supported renewal of panama s cnm status for 2014","WCPFC10","transparency"
"text53","WCPFC10",53,"wcpfc10 agreed to grant cnm status for 2014 to panama thailand","WCPFC10","transparency"
"text54","WCPFC10",54,"tcc9 requested the secretariat ask thailand to provide the following in advance of wcpfc10 i information on any research programmes conducted in the convention area ii information on responding to any iuu activities by vessels flying its flag that have been brought to its attention iii information on what measures taken to ensure compliance by its vessels with the commission s cmms and iv information on responses to alleged violations of cmms and any iuu activities of vessels flying its flag","WCPFC10","transparency"
"text55","WCPFC10",55,"the swg cnm was satisfied with the information provided by thailand and invited the commission to renew its cnm status for 2014 10","WCPFC10","transparency"
"text56","WCPFC10",56,"ffa members stated their general satisfaction with the application and supported renewal of thailand s cnm status for 2014 however the shortfall in payment of thailand s assessed contribution for 2013 should be accrued and added to its 2014 assessed contribution","WCPFC10","transparency"
"text57","WCPFC10",57,"wcpfc10 agreed to grant cnm status for 2014 to thailand vietnam","WCPFC10","transparency"
"text58","WCPFC10",58,"tcc9 requested the secretariat ask vietnam to provide the following in advance of wcpfc10 i information on any research programmes conducted in the convention area ii information on record of compliance with the provisions of the convention and cmms of the commission and the fisheries laws and regulations of coastal states in the convention area iii information on responding to any iuu activities by vessels flying its flag iv information on what measures taken to ensure compliance by its vessels with the commission s cmms v information on responses to alleged violations of cmms and any iuu activities of vessels flying its flag","WCPFC10","transparency"
"text59","WCPFC10",59,"the swg cnm was satisfied with the information provided by vietnam and invited the commission to renew cnm status for 2014","WCPFC10","transparency"
"text60","WCPFC10",60,"ffa members stated their general satisfaction with the application and supported renewal of vietnam s cnm status for 2014 however the small transaction shortfall in payment of the assessed contribution for 2013 should be accrued and added to its 2014 assessed contribution","WCPFC10","transparency"
"text61","WCPFC10",61,"one ccm while supporting the renewal of vietnam s cnm status for 2014 called for vietnam to take responsibility for overseeing shipbuilding activities such as those underway for 10 large purse seiners in order to avoid contributing to overcapacity in the region","WCPFC10","transparency"
"text62","WCPFC10",62,"vietnam thanked ccms for their support of its cnm application","WCPFC10","transparency"
"text63","WCPFC10",63,"one ccm stated that as a cnm vietnam should assist with implementing wcpfc cmms including those with provisions regarding capacity and fishing effort the ccm also requested vietnam to convey to the home government commission s concerns for purse seine overcapacity issue in the wcpo vietnam agreed with this request","WCPFC10","transparency"
"text64","WCPFC10",65,"ffa members made a general statement regarding their concern that cnm applicants are not being held to the requirements of cmm 2009 11 in particular that their applications continue to be accepted even if the assessed financial contributions are not paid these ccms indicated that a stricter approach would be adopted when considering future applications from all cnms ffa members also reiterated the request of the swg cnm 11 that a template be developed to clearly specify the type of information that should accompany submission of cnm applications participatory rights","WCPFC10","transparency"
"text65","WCPFC10",66,"the swg cnm then considered the issue of participatory rights where a decision to renew status was proposed the swg cnm assessed associated participatory rights with existing rights treated as the starting point for discussion subject to comment from swg cnm participants","WCPFC10","transparency"
"text66","WCPFC10",67,"in accordance with the wcpf convention and its conservation and management measures and resolutions the following limits apply to the participatory rights of cooperating non members cnms for fisheries in the high seas within the wcpfc convention area in addition unless otherwise specified below cnms may fish in waters under their national jurisdiction or other ccm s national jurisdiction in accordance with appropriate bilateral arrangements such cnms shall ensure vessels flying their flags comply with all provisions of the wcpf convention and the wcpfc cmms in addition cnm vessels will be placed on the wcpfc record of fishing vessels rfv ccms shall ensure that cnm fishing activities that are conducted in waters under their national jurisdiction in accordance with bilateral arrangements are consistent with all relevant conservation and management measures and provisions of the wcpf convention renewal of cnm status by the commission will be conditional on full compliance with the national laws and regulations of any licensing ccm and all conservation and management measures and provisions of the wcpf convention ccms shall identify any violations by vessels flagged to a cnm and report on any investigations of such violations to the tcc","WCPFC10","transparency"
"text67","WCPFC10",68,"the cnms identified below provide assurances that they will comply with all requests from commission members for information and documentation to investigate cases of possible illegal fishing","WCPFC10","transparency"
"text68","WCPFC10",69,"with respect to the compliance monitoring scheme the commission will consider how the compliance monitoring reports of cnms relate to the consideration of granting cnm status or determining participatory rights during the process of developing responses to non compliance","WCPFC10","transparency"
"text69","WCPFC10",70,"the commission advised cnms to ensure that they meet the deadline for submission of applications for cnm status and meet all the obligations contained in cmm 2009 11 the commission noted that failure to meet the above requirements could prejudice the future granting or renewal of cnm status wcpfc iattc overlap area","WCPFC10","transparency"
"text70","WCPFC10",71,"in accordance with the decision of wcpfc9 regarding the management of the overlap area south of 4˚s and between 130˚w and 150˚w vessels flagged to belize ecuador el salvador and mexico will be governed by the iattc when fishing in the overlap area accordingly the participatory rights for belize ecuador el salvador and mexico below apply to the wcpfc convention area excluding the overlap area","WCPFC10","transparency"
"text71","WCPFC10",72,"in accordance with the data exchange mou agreed by both commissions fishing vessels flying the flag of a member of either the iattc or wcpfc shall cooperate with the 12 rfmo to which they are not a member by voluntarily providing operational catch and effort data for their fishing activities for highly migratory species in the overlap area","WCPFC10","transparency"
"text72","WCPFC10",73,"for the purpose of investigation of possible iuu fishing activities and consistent with international and domestic laws vessels flying the flag of a cnm that is a contracting party to the iattc will cooperate with those coastal state members of the wcpfc whose eezs occur in the overlap area by voluntarily providing vms reports date time and position to those coastal states when operating in the overlap area belize","WCPFC10","transparency"
"text73","WCPFC10",74,"wcpfc10 granted belize the following participatory rights i belize s fishing activities in the convention area are limited to a longline bigeye catch of 803 25 mt and a longline yellowfin catch of 707 mt ii belize s fishing activities are further limited to the following a under cmm 2010 05 or subsequent revision in accordance with paragraph 1 belize is limited to historical catch level for 2004 of two unique longliners in the convention area south of 20˚s b under cmm 2005 03 belize is limited to the 2005 level of five unique longliners in the convention area north of the equator and c under cmm 2006 04 belize is limited to two unique longliners in the convention area south of 15˚s","WCPFC10","transparency"
"text74","WCPFC10",75,"the chair of the swg cnm explained that belize s limit for longline catch of yellowfin tuna 707 mt is based on 2001 2004 average catch levels and is consistent with wcpfc10 s discussions of the tropical tuna cmm democratic people s republic of korea","WCPFC10","strategy"
"text75","WCPFC10",76,"wcpfc10 agreed that the dprk has no participatory rights for fishing on the high seas for highly migratory fish stocks in the convention area ecuador","WCPFC10","transparency"
"text76","WCPFC10",77,"wcpfc10 agreed that the participatory rights of ecuador for fishing in the wcpo are limited to purse seine fishing only ecuador has no participatory rights for fishing on the high seas for highly migratory fish stocks in the convention area el salvador","WCPFC10","transparency"
"text77","WCPFC10",78,"wcpfc10 agreed that the participatory rights of el salvador for fishing in the wcpo are limited to purse seine fishing only the total level of effort by purse seine vessels of el salvador on the high seas shall not exceed 29 days in the convention area mexico","WCPFC10","transparency"
"text78","WCPFC10",79,"wcpfc10 agreed that mexico has participated in the work of the northern committee nc at nc8 and nc9 and noting the need for cooperation with the work of the nc particularly in regard to pacific bluefin tuna encouraged mexico to 13 continue to participate in the nc mexican participation in the wcpo tuna fisheries may not begin until all requested information and commitments have been provided to the wcpfc secretariat in accordance with the commission requirements the participatory rights of mexico for fishing in the wcpfc convention area are limited to purse seine fishing only mexico has no participatory rights for fishing on the high seas for highly migratory fish stocks in the convention area panama","WCPFC10","transparency"
"text79","WCPFC10",80,"wcpfc10 agreed that the participatory rights of panama in the wcpo are limited to the provision of carrier and bunker vessels only thailand","WCPFC10","transparency"
"text80","WCPFC10",81,"wcpfc10 noted the need for cooperation between thailand and the commission and the commitment from thailand to provide data from canneries located in thailand to assist in the work of the commission wcpfc10 agreed to grant cnm status to thailand for 2014 on the understanding that thailand will cooperate fully with the commission in the acquisition and exchange of fishery information and data the commission notes the provision of data from thai canneries and encourages thailand to continue to cooperate with the commission to improve the acquisition and exchange of fishery information and data the participatory rights of thailand in the wcpo are limited to the provision of carrier and bunker vessels only vietnam","WCPFC10","transparency"
"text81","WCPFC10",82,"wcpfc10 noted the need for continued cooperation between vietnam and the commission to achieve compatibility of fisheries management and conservation as well as on the acquisition and exchange of fishery information and data for which vietnam would require assistance the commission noted the significant improvements in the collection and provision of data from vietnam fisheries through the gef wpea project administered by the wcpfc and encouraged vietnam to continue to cooperate with the commission to improve the acquisition and exchange of fishery information and data the participatory rights of vietnam in the wcpo are limited to the provision of carrier and bunker vessels only agenda item 3 executive director and ccm reports 3 1 report of the executive director on the work on the commission","WCPFC10","transparency"
"text82","WCPFC10",83,"the executive director presented his report on the work of the commission for 2013 wcpfc10 2013 09 highlights included the delivery of all services within budget the recruitment of ana taholo as assistant compliance manager and maintenance of commission buildings and establishment of housing for the executive director and two members of staff ongoing issues were noted to include i power supply instabilities on the island and ii the unreliability of united airlines service which is adding time and expense to staff travel plans 14 3 2 statements by ccms","WCPFC10","session"
"text83","WCPFC10",84,"the chair invited wcpfc10 participants to make brief opening statements","WCPFC10","session"
"text84","WCPFC10",85,"tuvalu stated that its fisheries resources are critical to its survival as it has few other natural resources with which to support its people tuvalu is highly dependent on fad fishing and existing restrictions on fad fishing e g in the form of the three month fad closure cause it to incur a direct economic loss calculated at 1 5 million usd per month in this sense tuvalu feels that additional fad closures would lead to it bearing an unfair and disproportionate burden for tropical tuna conservation which primarily benefits other more economically well off ccms","WCPFC10","bycatch"
"text85","WCPFC10",86,"samoa noted that it has established an effort limit of 150 days for purse seine fishing in its eez under cmm 2012 01 para 14 wcpfc10 2013 dp 22 samoa noted that it may establish or adjust other limits in the interest of domestic food security income and employment while maintaining tuna stocks at healthy levels","WCPFC10","bycatch"
"text86","WCPFC10",87,"niue informed wcpfc10 that through a process of full consultation it had set catch limits for south pacific albacore yellowfin and bigeye tunas for the longline fishery and skipjack yellowfin and bigeye tunas for the purse seine fishery under cmm 2012 01 para 14 wcpfc10 2013 dp 25 niue considers this a milestone in the management of their fisheries","WCPFC10","bycatch"
"text87","WCPFC10",88,"new caledonia stated that its priority is to establish a strong framework for the management of south pacific albacore but that it also wishes to see the commission s compliance capabilities strengthened in general new caledonia informed wcpfc10 that it has banned shark fishing and finning and is currently engaged in a review of working conditions for fishermen under the international labour organization s work in fishing convention of 2007","WCPFC10","other"
"text88","WCPFC10",89,"tonga highlighted the importance of ensuring that the commission s cmms result in benefits accruing to small island developing states sids including the development of their domestic fleets and economies while tonga confirmed that it will continue to fulfil its responsibilities for fisheries management for example through its recent participation in monitoring control and surveillance mcs activities and completion of a national plan of action npoa sharks it noted that such activities can strain the capacity of sids","WCPFC10","other"
"text89","WCPFC10",90,"greenpeace the pew charitable trusts wwf and the international game fish association stated their concern that the wcpfc is not taking appropriate action on issues ranging from the overfishing of bigeye tuna overcapacity in the south pacific albacore fishery lack of management and overfishing for some shark species high seas transhipment and illegal unreported and unregulated iuu fishing these observers urged participants in wcpfc10 to avoid stalemates and seek common ground beyond national positions","WCPFC10","other"
"text90","WCPFC10",91,"the philippines reaffirmed its commitment to long term sustainable fisheries as demonstrated by its record of implementing the commission s cmms and cooperating with other ccms","WCPFC10","other"
"text91","WCPFC10",92,"the international game fish association noted that recreational fishing activities are increasing around the world and urged wcpfc10 to i manage all billfishes to levels 15 above their maximum sustainable yield msy to allow recreational fishing ii establish a rebuilding plan for pacific bluefin tuna and iii take management action to conserve sharks","WCPFC10","strategy"
"text92","WCPFC10",93,"one ccm stated that observers should not be permitted to make opening statements across the floor but should submit such statements in writing","WCPFC10","equity"
"text93","WCPFC10",94,"the chair noted advice from the wcpfc legal advisor regarding the order in which ccms and observers are offered the floor for opening statements 3 3 special requirements of small island developing states sids and ccm reports on the implementation of article 30 of the convention","WCPFC10","equity"
"text94","WCPFC10",95,"ffa members called for the full recognition of the special requirements of sids when developed ccms report on their implementation of article 30 of the convention they were requested to i operationalize article 30 in all commission decision making ii target assistance in areas identified in wcpfc10 2013 dp 02 iii avoid transferring a disproportionate burden as described in wcpfc10 2013 dp 01 and iv develop criteria to evaluate new proposals in terms of their potential negative impacts on sids ccms were asked to integrate these considerations into all the work of the commission","WCPFC10","equity"
"text95","WCPFC10",96,"ffa members also noted that when considering the impact of commission measures on sids the focus should be on three key areas i support increased commercialism of sids fisheries ii enhance sids capacity for conservation and management and iii recognise the importance of and implement rights based management","WCPFC10","equity"
"text96","WCPFC10",97,"referring specifically to wcpfc10 2013 dp 02 ffa members identified assistance needs in six key areas i revise cmm 2012 01 to avoid any disproportionate burden ii protect and increase sids participation in the south pacific albacore fishery iii increase sids capacity in the areas of compliance data analysis science and bioeconomic analysis and implementation of the information management system ims iv increase budgets for sids participation in meetings particularly chairs and vice chairs of subsidiary bodies v develop e reporting national observer programmes and port sampling for transhipment operations and vi rationalise commission workloads prioritisation of issues and streamlining agendas","WCPFC10","equity"
"text97","WCPFC10",98,"ffa members explained that effective participation in meetings of the commission goes beyond travel funding and requires capacity building for data management science and compliance while those ccms that have contributed to the special requirements fund and the japan trust fund are appreciated all ccms were invited to contribute in these or other ways","WCPFC10","other"
"text98","WCPFC10",99,"ffa members also noted two specific priorities for the development of the cmr process these include i observer debriefing and data management and ii capacity building for national plans of action license conditions vms obligations and mitigation measures","WCPFC10","equity"
"text99","WCPFC10",100,"ffa members introduced a proposal for a new cmm containing the principles previously expressed in resolution 2008 01 wcpfc10 2013 dp 36 rev 1 the proposed cmm contains sections on capacity development of personnel technology transfer fisheries conservation and management mcs and support for sids domestic fishing industries the proposal would also require that developed ccms report against the new cmm in annual reports part 2 ccms were encouraged to support this binding measure in order to 16 avoid a situation in which sids are overwhelmed by the rising obligations of the commission","WCPFC10","equity"
