document,number,content
WCPFC3-2006-OP02,11,References Anderson S and McArdle B 2002 Sink rate of baited hooks during deployment of a pelagic longline from a New Zealand fishing vessel New Zealand Journal of Marine and Freshwater Research 36 185195 Baker G B and Wise B S 2005 The impact of pelagic longline fishing on the fleshfooted shearwater Puffinus carneipes in Eastern Australia Biological Conservation 126306 316 Boggs CH 2001 Deterring albatrosses from contacting baits during swordfish longline sets In Melvin E Parrish JK Eds Seabird Bycatch Trends Roadblocks and Solutions University of Alaska Sea Grant Fairbanks Alaska pp 7994 Brothers N and Gilman E 2006 Technical assistance for Hawaiibased pelagic longline vessels to modify deck design and fishing practices to side set Prepared for the National marine Fisheries Service Pacific Islands Regional Office Blue Ocean Institute September 2006 Brothers N P 1991 Approaches to reducing albatross mortality and associated bait loss in the Japanese longline fishery Biological Conservation 55 255268 Brothers N Gales R and Reid T 1999 The influence of environmental variables and mitigation measures on seabird catch rates in the Japanese tuna longline fishery within the Australian Fishing Zone 19911995 Biological Conservation 8885101 Brothers N Gales R Reid T 2001 The effect of line weighting on the sink rate of pelagic tuna longline hooks and its potential for minimising seabird mortalities CCSBTERS011153 CCAMLR 2002 Report of the working group on fish stock assessment Report of the twentyfirst meeting of the Scientific Committee of the Commission for the Conservation of Marine Living Resources Commission for the Conservation of Marine Living Resources Hobart Cherel Y Weimerskirch H Duhamel G 1996 Interactions between longline vessels and seabirds in Kerguelen Waters and a method to reduce seabird mortality Biological Conservation 756370 Double M and Cocking L In press Duckworth K 1995 Analysis of factors which influence seabird bycatch in the Japanese southern bluefin tuna longline fishery in New Zealand waters 19891993 New Zealand Fisheries Assessment Research Document 9526 Gales R Brothers N and Reid T 1998 Seabird mortality in the Japanese tuna longline fishery around Australia 19881995 Biological Conservation 8637 56 Gilman E Brothers N Kobayashi D R Martin S Cook J Ray J Ching G Woods B 2003a Performance assessment of underwater setting chutes side setting and bluedyed bait to minimize seabird mortality in Hawaii longline tuna and swordfish fisheries Final report Western Pacific Regional Fishery Management Council Honolulu Hawaii USA 42pp Gilman E C Boggs and N Brothers 2003b Performance assessment of an underwater setting chute to mitigate seabird bycatch in the Hawaii pelagic longline tuna fishery Ocean and Coastal Management 461112 9851010 Gilman E N Brothers D Kobayashi 2005 Principles and approaches to abate seabird bycatch in longline fisheries Fish and Fisheries 6 3549 Hu F Shiga M Yokota K Shiode D Tokai T Sakai H Arimoto T 2005 Effects of specifications of branch line on sinking characteristics of hooks in Japanese tuna longline Nippon Suisan Gakkaishi 71 1 3338 Imber MJ 1994 Report on a tuna longlining fishing voyage aboard Southern Venture to observe seabird bycatch problems Science Research Series 65 Department of Conservation Wellington New Zealand Klaer N and T Polacheck 1998 The influence of environmental factors and mitigation measures on bycatch rates of seabirds by Japanese longline fishing vessels in the Australian region Emu 9830516 Lawrence E Wise B Bromhead D Hindmarsh S Barry S Bensley N and Findlay J 2006 Analyses of AFMA seabird mitigation trials to 2004 Bureau of Rural Sciences Canberra Lokkeborg S and Robertson G 2002 Seabird and longline interactions effects of a birdscaring streamer line and line shooter on the incidental capture of northern fulmars Fulmarus glacialis Biological Conservation 106 359364 Lokkeborg S 2003 Review and evaluation of three mitigation measures birdscaring line underwater setting and line shooter to reduce seabird bycatch in the north Atlantic longline fishery Fisheries Research 60 1116 Lydon G and Starr P 2005 Effect of blue dyed bait on incidental seabird mortalities and fish catch rates on a commercial longliner fishing off East Cape New Zealand Unpublished Conservation Services Programme Report Department of Conservation New Zealand 12 p McNamara B Torre L Kaaialii G Hawaii longline seabird mortality mitigation project Honolulu HI USA Western Pacific Regional Fishery Management Council 1999 Melvin E F J K Parrish K S Dietrich and O S Hamel 2001 Solutions to seabird bycatch in Alaskas demersal longline fisheries Project AFP7 WSGAS 0101 Washington Sea Grant Melvin EF 2003 Streamer lines to reduce seabird bycatch in longline fisheries Washington Sea Grant Program WSGAS 0033 Melvin E F B Sullivan G Robertson and B Wienecke 2004 A review of the effectiveness of streamer lines as a seabird bycatch mitigation technique in longline fisheries and CCAMLR streamer line requirements CCAMLR Sci 11189201 Minami H and Kiyota M 2001 Effect of bluedyed bait on reducing incidental take of seabirds CCSBTERS011161 7pp Minami H and Kiyota M 2004 Effect of bluedyed bait and toripole streamer on reduction of incidental take of seabirds in the Japanese southern bluefin tuna longline fisheries CCSBTERS040208 Robertson G 2003 Fastsinking lines reduce seabird mortality in longline fisheries Australian Antarctic Division Tasmania Sakai H Hu F Arimoto T 2001 Basic study on prevention of incidental catch of seabirds in tuna longline CCSBTERS011162 Sakai H Fuxiang H Arimoto T 2004 Underwater setting device for preventing incidental catches of seabirds in tuna longline fishing CCSBTERS0402Info06 Uozomi Y and Takeuchi Y 1998 Influence of tori pole on incidental catch rate of seabirds by Japanese southern bluefin tuna longline fishery in high seas CCSBTWRS98069 revised 5pp Yokota K and Kiyota M 2006 Preliminary report of sidesetting experiments in a large sized longline vessel WCPFCSC22006EB WP15 Paper submitted to the Second meeting of the WCPFC Ecosystem and Bycatch SWG Manila 10th August 2006
WCPFC3-2006-OP02,12,Appendix Seabird bycatch mitigation measures recommended by the WCPFC Scientific Committee in August 2006 All longliners should thaw their bait before it is deployed In addition south of 30S and north of 23N CCMs should require their longline vessels to use at least two of the mitigation measures presented in Table 1 including at least one from Column A
WCPFC3-2006-OP02,13,Table 1 Recommended mitigation measures Column A Column B Side setting with bird curtain Tori line Night setting with minimum deck lighting Weighted branch lines Tori line Bluedyed bait
WCPFC3-2006-OP02,14,Deep setting line shooter
WCPFC3-2006-OP02,15,Bait caster
WCPFC3-2006-OP02,16,Underwater setting chute
WCPFC3-2006-OP02,17,Management of offal discharge If tori line is selected from both column A and column B this equates to simultaneously using two ie paired tori lines In other areas where necessary CCMs are encouraged to employ one or more of the seabird mitigation measures listed in Table 1 Other mitigation measures may be tested under bona fide research programmes Every effort should be made to ensure that seabirds captured alive during longlining are released alive and that wherever possible hooks are removed without jeopardising the life of the seabird concerned CCMs are encouraged to seek feedback from fishers and observers on the effectiveness and practicality of mitigation measures These measures should be reviewed regularly particularly when information becomes available on new or existing measures or on seabird interactions from observer or other monitoring programmes An updated suite of recommended measures should then be considered To the extent possible CCMs should endeavour to harmonise their NPOAs with these measures
WCPFC3-2006-OP03,1,WWF TRAFFIC OCEANIA STATEMENT TO THE 3RD SESSION OF THE WESTERN CENTRAL PACIFIC FISHERIES COMMISSION
WCPFC3-2006-OP03,2,Apia Samoa 15 December 2006
WCPFC3-2006-OP03,3,INTRODUCTION Since the second annual meeting of the WCPFC in December 2005 there have been some significant developments in global fisheries conservation and management Primary among these was the United Nations Fish Stocks Review Conference in May 2006 at which a key issue of focus was the performance of the worlds 16 regional fisheries management organizations RFMOs The focus on RFMOs at the UNFSA Review Conference is part of ongoing international efforts to address the reasons for the widespread failure of RFMOs to prevent overfishing degradation of the marine ecosystems and suboptimal benefits accruing to coastal States fishing States and their legitimate fishing industries Multilateral bilateral and unilateral efforts are underway to identify the reasons for these failures and move rapidly to implement effective measures to address them Initiatives such as the Ministeriallyled High Sea Task Force on Illegal Unreported and Unregulated Fishing which released its final report in March 2006 the MCS Network and the meeting of the five tuna RFMOs to be hosted by Japan early in 2007 represent some of these efforts As a contribution to international efforts at the UNFSA Review Conference WWF and TRAFFIC released the report Follow the Leader learning from experience and best practice in regional fisheries management organisations The WCPF Convention is arguably the most innovative and farreaching RFMO in force to date Given that it was negotiated postUNFSA the Convention reflects much of what is widely regarded as international best practice in areas such as recognition of the precautionary approach facilitating developing State participation explicit acknowledgement of allocation and evolved decisionmaking processes The responsibilities of the Commission can not be understated it is responsible not only for the conservation and management of the worlds largest tuna fishery supplying almost half of the global supply but also for the broader marine ecosystem upon which the longterm prosperity of this fishery relies In the context of the current and growing international focus on the performance of RFMOs there are high expectations from the international community that the WCPFC has the tools at its disposal to succeed where other RFMOs have failed To meet these expectations WWF and TRAFFIC consider the following to be priorities for action PRECAUTIONARY APPROACH Bigeye Tuna and Yellowfin Tuna management The Commissions decision at its 2005 meeting to limit catch and effort at record levels was contrary to the advice of its Scientific Committee and the precautionary approach The Scientific Committees advice to this meeting is similar to that in 2005 if not more pessimistic with regard to Bigeye Tuna The advice from the Scientific Committee is that a reduction in fishing mortality of 39 is required to maintain the Bigeye Tuna biomass at a level 20 above that which will produce maximum sustainable yield MSY Similarly a reduction in fishing mortality on Yellowfin Tuna is required to maintain biomass at a level 20 above the level at which MSY is produced In the context of the Scientific Committees advice WWF and TRAFFIC draw the Commissions attention to the fact that under the precautionary approach set out under UNFSA MSY is minimum standard for a limit reference point not a target reference point ie stocks should be maintained at levels above those that can produce MSY WWF and TRAFFIC draw the attention of the Commission to Conservation and Management Measure CMM 200501 concerning Bigeye and Yellowfin Tuna which provides for the catch and effort levels set under that CMM to be reviewed annually in light of the Scientific Committees advice WWF urges the Commission to follow the advice of SC2 and take action to reduce catch of Bigeye and Yellowfin at this meeting Additionally priority should be given to developing and adopting a robust Management Evaluation Strategy MSE prior to the expiration of the threeyear limit on longline catch levels for Bigeye Tuna established under CMM 200501 The MSE would then provide a decisionmaking framework within which the current catch and effort limits can be reassessed The Scientific Committee considered the development of a MSE to be the highest level of priority in its future work programme and we call on Members to provide the necessary extraordinary funding for this work to be urgently undertaken Action to address the ongoing overfishing of Bigeye Tuna and Yellowfin Tuna may pervert the flow of economic benefits from the longline and purse seine fisheries respectively in the short to medium term In this context we would draw the attention of Members to their unilateral and collective obligations under Article 5 of this Convention among others to apply the precautionary approach and prevent these stocks from moving to an overfished state Traderelated measures Traderelated measures for tuna species is not a new concept and much work has been done to assess the different forms that these measures can take and the effectiveness of various systems in meeting objectives TRAFFIC and WWF have undertaken a number of analyses of the effectiveness and deficiencies in traderelated measures adopted by RFMOs including most recently that of the Commission for the Conservation of Southern Bluefin Tuna Given the global nature of trade in tuna products and the laundering of catches already known to occur it is inevitable that the Commission will need to consider some form of a traderelated measure for the WCPFC WWF and TRAFFIC believe that a priority for the Commission is to ensure that the objectives of its traderelated measure are clearly stated to provide a basis against which to the pros and cons of different schemes and to ensure that the deficiencies in the schemes of other RFMOs are not repeated More specifically proposals to implement a pareddown statistical documentation scheme SDS need to be carefully examined in the light of deficiencies already exposed in systems that deal only with the trade component rather than being inclusive of catch as well Given that the Commission has already signaled its intention to move rapidly to allocate fishing opportunities as well as existing concerns about levels of illegal unregulated and unreported IUU fishing in the Convention area WWF and TRAFFIC consider that the most cost and conservationeffective way forward is for the Commission to adopt a catch documentation scheme from the outset rather than subject the fishing industry and the membership to a series of iterative steps towards such a comprehensive scheme over a number of years Transhipment WWF and TRAFFIC are fully aware that accurate reporting of catches is essential in assessing the health of the fishery Transhipment requirements are articulated in Article 29 of the Convention and Annex III Article 4 Identifying designated ports for transhipment taking into account exceptional situations where this may not be possible will reduce and discourage IUU related activities With the understanding that the adoption of transshipment guidelines will be made at WCPFC4 as per the recommendation from the Technical and Compliance Committee TCC to the Commission we would like to encourage the Commission to move forward with its recommendation to develop transhipment guidelines prior to WCPFC4
WCPFC3-2006-OP03,4,With respect to the precautionary approach WWF and TRAFFIC call for a 39 reduction in fishing mortality of BET in line with the SC advice on maintaining biomass 20 above levels producing MSY a 26 reduction in fishing mortality of YFT in line with the SC advice on maintaining biomass 20 above levels producing MSY a Management Strategy Evaluation framework be developed as a matter of urgency and adopted no later than the 5th annual session of the Commission in 2008 the development and adoption of a comprehensive catch documentation scheme with the ability to track catch from vessel to market State transshipment requirements that effectively address IUU fishing to be developed prior to WCPFC4
WCPFC3-2006-OP03,5,ECOSYSTEM APPROACH TO FISHERIES MANAGEMENT WWF and TRAFFIC welcome the intersessional work done and congratulate the Scientific Committee and its subsidiary bodies There are a number of areas with respect to species of special interest and broader ecosystem considerations that we would like to highlight Species of special interest Turtles Populations of sea turtles are vulnerable to even smallscale adult mortality resulting from longline bycatch WWF and numerous partners are engaged in collaborative trials for longline bycatch mitigation in the eastern and western Pacific and have also encouraged through the Smartgear competition the development of innovative and adaptive fishing gears designed to reduce bycatch We are encouraged to see that many countries catching tuna in the Convention area are likewise testing alternative gear such as circle hooks WWF and TRAFFIC support the general recommendations for sea turtle data collection and research of the Scientific Committee in 2006 particularly the identification of those fishery sectors with a turtle bycatch problem as well as the recommendation for a flexible approach based on scientific research to sea turtle mitigation measures However this research must result in action in a timely manner As turtle bycatch hotspots are identified the Commission must require concrete mitigation action from CCMs such as widespread gear change seasonal closures in such hotspots rather than supporting an ongoing research programme Sharks WWF and TRAFFIC are encouraged by the recognition of the Commission of the vulnerability of shark species to the impacts of fishing and the need to implement measures to mitigate these impacts In this context TRAFFIC is close to completing an analysis of shark conservation measures adopted by other RFMOs and has identified both deficiencies and best practice arising from this analysis The analysis reiterates that the key to sustainable shark fisheries is to understand and manage the level of mortality incurred by fishing Effective management requires reliable species or stockspecific information on biology and total mortality landings and discards and precautionary limits in the face of uncertainty While all shark species are relatively more vulnerable to overfishing than most other marine fishes within the shark category the level of vulnerability varies considerably There is an urgent need to improve our understanding of shark mortality on a species basis and it is important therefore that information is collected on this basis and that riskbased management measures are adopted for individual species where necessary The approach adopted by a number of other RFMOs in response to these requirements has been to implement bans on shark finning However the extent to which finning bans will achieve shark conservation depends on how they are applied The key element of the bans is the requirement to land both the trunk and the fins and there are a number of ways in which this requirement can be applied from relying on a ratio of fintobody weight to requiring the landing of whole specimens Clearly a fintobody ratio provides the least contribution to data collection and creates difficulties for enforcement To maximise effectiveness with respect to these objectives and account for the practicalities of fishing WWF and TRAFFIC recommend that sharks should be landed headed and gutted with skins fins claspers dorsal spines where applicable attached This approach maximises product quality and makes a significant contribution to shark species identification quantification of weight of catch and enforcement It is also the approach recommended by FAO in its Technical Guidelines for Responsible Fisheries Further to provide a basis for effective shark conservation into the future the CMM needs to relate to all species of the Class Chondrichthyes Seabirds At its second annual session the Commission recognized the need to take urgent action with respect to mitigating incidental catch of seabirds and the need to cooperate with other organizations in this quest We welcome the comprehensive recommendations from the Scientific Committee and TCC with regard to mitigation measures to be adopted as well as future research and data needs We would urge the Commission to adopt and implement a CMM specific to seabird mitigation at this meeting consistent with the recommendations contained in the Scientific Committee report
WCPFC3-2006-OP03,6,Wider ecosystem issues Like the highly migratory fish stocks with which this Commission is primarily concerned ecosystem considerations and the impacts of fishing on the wider marine ecosystem are also transboundary It is crucial that a collaborative approach is taken to address fishing impacts on the ecosystem particularly on nontarget fish species and that measures to mitigate these impacts are applied in all waters where these occur whether under national jurisdiction or on the high seas In this regard States should ensure compatibility between waters under national jurisdiction and the high seas with respect to measures to mitigate these impacts An aspect of the Scientific Committees future work plan that WWF and TRAFFIC would like to highlight is the work to undertake an Ecological Risk Assessment ERA We welcome this initiative and look forward to the contribution it will make to prioritising species requiring targeted management action noting that this will also facilitate more effective use of the limited resources of the Commission Linked to this we welcome the intention to develop review models to evaluate impacts on the ecosystem including development of reference points identified in the Scientific Committees work programme and would encourage Members to provide funding to support this work With respect to the Regional Observer Programme ROP the ROP is a vital component of fisheries management in the WCPF Convention area The critical role of the ROP is recognized in the Convention text under Part VII Article 28 with further elaboration of its role and functions in Annex III There are obviously certain processes that have to be put in place to ensure that the ROP becomes fully functional however time is of the essence particularly when dealing with a resource base which in the absence of data and without proper management will quickly succumb to overfishing Of particular concern is that the current low observer coverage makes modelling for analyses of species of special interest problematic Therefore WWF and TRAFFIC fully support the recommendations of the Scientific Committee to extend the Regional Observer Programme coverage to ensure representative data collection across the WCPO
WCPFC3-2006-OP03,7,With respect to the ecosystem approach to the WCP fishery WWF and TRAFFIC call for the Scientific Committee to be tasked with identifying sea turtle and sea bird hotspots in the Convention area and associated recommended mitigation actions and targets for consideration by the Commission at the 2007 meeting adoption of a Conservation and Management Measure for mitigating interactions with seabirds at this meeting of the Commission based on the recommendations of the Scientific Committee in line with best practice adoption of a Conservation and Management Measure for sharks based that applies to all species of the Class Chondrichthyes and requires sharks to be landed headed and gutted with skins fins claspers dorsal spines where applicable Members to provide funding for the development review of models to evaluate impacts on the ecosystem including development of reference points identified in the Scientific Committees work programme a fullyfunctioning Regional Observer Programme to be rapidly implemented with coverage that ensures representative data collection across the WCPO particularly with regard to species of special interest
WCPFC3-2006-OP03,8,ALLOCATION OF FISHING OPPORTUNITIES The issue of allocation has been addressed internally among FFA member countries and during the MHLC process where the UNFSA Criteria on Allocation was considered to be a good starting point WWF and TRAFFIC recognize that the paper on allocation prepared for discussion at WCPFC3 is crucial in providing guidance and direction to the members of the Commission We also recognize that in order to be able to deliver on the required conservation outcome namely a stable fishery allocation has to be supported by welldeveloped monitoring control and surveillance measures Where there is noncompliance sanctions will have to be imposed including a reduction in quotas The experience of other RFMOs with regards to allocation demonstrates that it is a necessary component of resource conservation and facilitating responsible fishing This experience also shows common issues such as an inability to agree on an overall catch limit given concomitant limits imposed on national fishing activities lack of willingness to accommodate new members within existing allocation regimes and noncompliance with national allocations In the joint WWFTRAFFIC paper Conservation implications of allocation under the Western and Central Pacific Fisheries Commission tabled at this meeting WWF and TRAFFIC have submitted a number of recommendations first and foremost being that the WCPFC should move rapidly to allocate particularly given that overfishing of two of the four key tuna stocks is already occurring and other RFMOs delays have resulted in a reduced likelihood of agreement in the face of more drastic reductions in catch andor effort WWF and TRAFFIC urge members of the Commission to agree on an allocation criterion taking into account the advice of the Scientific Committee and the requirements under the relevant Articles of the Convention including Article We also urge the Commission to establish a process under which discussions of allocation issues can proceed in a transparent methodical and objective manner
WCPFC3-2006-OP03,9,With respect to allocation of fishing opportunities WWF and TRAFFIC call for the Commission to establish a process under which allocation issues can be progressed in a transparent methodical and objective manner rapid resolution of allocation of fishing opportunities the allocation system developed by the Commission to have inbuilt flexibility and review provisions for example to take account of the aspirations of new members
WCPFC3-2006-OP03,10,OTHER ISSUES Relationship with other organizations As many Members of the Commission are aware negotiations have commenced for a proposed South Pacific RFMO in waters south of the equator covering all nonhighly migratory fish stocks While the proposed new RFMO is likely to exclude the highly migratory fish stocks to which the WCPF Convention applies there will clearly be areas of significant overlap in responsibilities including species of special interest nontarget fish species broader ecosystem issues and measures to address IUU fishing WWF and TRAFFIC have attended each of the two negotiating sessions for the proposed South Pacific RFMO held thus far and was encouraged by the attendance of many of the Members from this Commission and in particular the clear statements made linking the pelagic ecosystems underpinning the WCPF tuna fisheries with the proposed mandate of the new RFMO We would urge the Commission to consider a more formalized approach to and presence at the negotiations for the new South Pacific RFMO to ensure that the best practice standards and aspirations of this Commission are complemented and enhanced under the new Convention
WCPFC3-2006-OP03,11,CONCLUSION The role of the WCPFC is paramount in ensuring that the code of conduct for fishing in the Convention area is observed The effectiveness of the conservation and management measures when they are implemented will only be as effective as the cooperation among its members will allow WWF and TRAFFIC will play our role through a consultative process with national and regional environmental nongovernment organizations in increasing awareness of oceanic fishery resource and ecosystem management enhancing understanding of the WCPFC Convention disseminating relevant information on oceanic fisheries management issues national and regional and promoting awareness of national andor regional development and economic priorities and how they relate to sustainable fisheries management We would like to reiterate that CCMs nonCCMs and Observers have a real opportunity as coastal States fishing States conservationists and industry to cooperate to ensure that responsible fishing is practiced
WCPFC3-2006-OP04,1,COMISION INTERAMERICANA DEL ATUN TROPICAL INTERAMERICAN TROPICAL TUNA COMMISSION La Jolla Shores Drive La Jolla CA 920371508 USA wwwiattcorg Tel 858 5467100 Fax 858 5467133 Director Robin Allen November 2006 Ref 0803708
WCPFC3-2006-OP04,2,Mr Andrew Wright Executive Secretary West and Central Pacific Fisheries Commission PO BOx 2356 Kolonia Pohnpei 96941 Federated States of Micronesia
